0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
effect,interaction,main,analysis,see,region,results,first,related,level,contrast,type,finding,difference,measures,second,behavior,due,post,increased,reported,left,hoc,time,dependent,specific,x,subject,sensitive,influence,one,size,reduced,condition,model,experimental,general,order,expected,correct
verbal,creativity,intelligence,creative,nonverbal,left,associated,verbal memory,right,test,divergent thinking,brain,ability,generation,reported,fluency,achievement,performance,task,process,finding,general,higher,individual,uses,may,figural,information,creative thinking,total,domain,number,role,academic,fluid,au,tumor,novel,characteristic,new
error,dacc,correct,rate,monitoring,process,related,incorrect,trial,response,post,dorsal anterior,event,adjustment,behavior,associated,performance monitoring,number,may,x,cognitive control,task,cingulate cortex,one,conflict,failure,role,error detection,performance,medial frontal,signal,increased,type,based,see,subsequent,cingulate,analysis,results,detection
connectivity,analysis,functional connectivity,region,interaction,strength,network,time,increased,pattern,anatomical,see,function,structure,may,psychophysiological,direct,specific,pathway,difference,well,subject,change,influence,rest,approach,defined,ia,physiological,driven,altered,dependent,measures,based,cortex,first,center,left,method,sample
ips,number,adaptation,distance,numerical,magnitude,digit,process,comparison,symbolic,representation,mathematical,intraparietal sulcus,parietal,effect,counting,size,dots,parietal cortex,order,left,right,neural,line,small,presented,large,estimation,see,symbols,neuronal,intraparietal,activation,single,difference,bilateral,non,one,unit,ms
carrier,gene,genetic,associated,met,brain,variant,effect,sample,function,risk,phenotype,expression,analysis,difference,environmental,healthy,ca,status,protein,human,neuronal,may,level,x,reported,multiple,pathway,influence,number,dependent,results,single,deletion,impact,model,based,finding,disorder,increased
volume,structure,gray matter,brain,image,analysis,difference,grey matter,white matter,region,based,density,reduction,associated,results,finding,total,age,reported,size,relationship,anatomical,may,change,comparison,morphology,t1,alteration,gray,specific,global,multiple,csf,sample,related,well,non,local,correct,reduced
location,stroke,recovery,exercise,vwm,change,brain,post,function,rehabilitation,test,time,subcortical,ischemic,hemisphere,infarction,may,paretic,reorganization,healthy,one,associated,upper,good,poor,first,motor function,longitudinal,outcome,therapy,induced,point,animal,assessment,extremity,combined,index,onset,meyer,physical
phase,test,x,duration,complete,place,divided,indices,section,subsequent,middle,button,fourth,problem,point,local,search,focused,circle,delay,kind,top,limit,press,axis,crossing,definition,hypokinesia,reaching,anti,loop,coordination,day,topic,a11,latency response,head injuries,breakthrough,locked syndrome,persistent
condition,difference,experimental,results,comparison,contrast,baseline,process,order,one,presented,neural,response,involved,four,analysis,level,test,main,first,instruction,higher,right,behavior,random,involvement,manipulation,paradigm,control,left,second,button,ms,hoc,based,information,finding,reaction time,paired,due
preference,sexual,bias,attractiveness,attitude,beauty,member,photographs,love,white,erotic,response,trustworthiness,stimuli,brain,arousal,racial,ideal,people,viewing,heterosexual,affect,biases,stereotyped,asian,homosexual,conformity,may,rating,opinion,results,neural,contrast,scale,first,human,finding,influence,desired,research
response,difference,greater,trial,event,function,stimulus,baseline,linear,may,model,contrast,reported,signal,onset,button,time,show,average,magnitude,paradigm,dependent,post,sensitive,mixed,defined,robust,correct,response time,subject,fixation,stimuli,type,measures,random,acquisition,middle,detection,hoc,suggest
hand,body,part,limb,bodies,one,ownership,upper,leg,body image,image,representation,lower,bodily,human,see,proprioceptive,fba,results,visual,body representation,space,extrastriate,illusion,reported,perception,distorted,selective,tool,subject,right,contrast,body schema,feet,personal space,representation body,cross,comparison,trunk,interaction
encoding,memory,retrieval,associated,remember,recognition,memories,episodic memory,information,process,encoded,encoding retrieval,presented,memory performance,left,memory retrieval,results,memory task,recall,subsequent,formation,related,difference,memory encoding,correct,success,episodic,region,retrieved,one,may,specific,subsequent memory,paradigm,list,see,analysis,forgetting,mnemonic,first
target,search,trial,ms,visual search,target detection,event,related,location,presented,position,behavior,detection,absent,reaction time,onset,set,detected,information,involved,standard,without,absence,accurate,goal,probability,based,paradigm,response time,see,defined,continuous,spatial,critical,relevant,one,interval,searching,frontal,process
segment,t2,t1,lag,contour,ab,surprise,lags,process,detected,second,first,short,continuous,long,correct,attentional blink,detection,interaction,presented,prp,stage,reported,line,limited,blink,stream,contrast,see,rate,interval,left,ca,cross,crosstalk,cortical,refractory,prolonged,trace,total
rating,empathy,scale,empathic,affective,feeling,experience,subject,cognitive,one,self report,vicarious,first,sharing,analysis,ex,results,see,contrast,shared,suffering,questionnaire,post,state,viewing,level,well,point,self,anterior insula,reported,second,observation,scanning,understanding,addition,taking,perception,bilateral,imagine
mid,cycle,ac,pg,na,st,peri,bs,hormone,ovarian,primary,somatomotor,second,sensitive,affect,day,lh,te1,oriented,transition,axis,contribution,secondary,fsh,alveolar,confusion,referred,net,natural,centro,concentration,daily,luteinizing,producing,primitive,intra,follicle,bell,auditory scene,entorhinal cortices
intensity,touch,temperature,skin,heat,cold,thermal,warm,sensation,distal,proximal,may,baseline,forearm,fiber,subject,arm,discrimination,stimulus,afferent,testing,reported,induced,threshold,perception,range,rate,contrast,addition,leg,first,slow,burning pain,central,coding,mechanisms,average,quality,contribution,mediated
stg,mtg,sub,neglect,superior temporal gyrus,middle temporal gyrus,bilateral,posterior,line,acg,sts,superior temporal,insula,system,number,associated,angular gyrus,temporal lobe,amblyopia,strabismus,mechanisms,visual,gyri,single,supramarginal gyrus,reported,show,temporal cortex,poor,without,temporal gyrus,deviation,exploratory,temporo parietal,stage,cluster,neuronal,rolandic,activities,index
model,causal,path,dynamic,level,one,neuronal,based,influence,function,first,information,modulatory,region,structure,results,inference,intrinsic,order,linear,analysis,probability,second,posterior,direct,top,family,see,interaction,approach,time,specific,experimental,selection,system,distribution,random,effect,activity,four
food,weight,eating,obesity,hunger,brain,image,energy,body,healthy,cues,insulin,appetitive,response,satiety,consumption,eating disorder,greater,associated,diet,increased,women,may,mass,high,fasting,anorexia nervosa,stimuli,reward,hypothalamus,binge,diabetes,gain,loss,dietary,show,related,rating,eating behavior,insula
expression,facial expression,facial,angry,neural,happy,face,emotional,fearful,neutral faces,anger,process,fearful faces,happy faces,fear,emotional faces,emotion recognition,response,stimuli,presented,recognition,affect,emotional expression,task,gender,fusiform gyrus,activation,disgust,happiness,accuracy,recognized,one,see,dynamic,finding,brain,social,behavior,viewing,direct
self,process,self referential,one,related,trait,reference,self esteem,relevant,person,contrast,self evaluation,information,may,precuneus,midline,comparison,neural,involved,judgment,sense,people,direct,structure,general,specific,task,thinking,see,presented,stimuli,psychological,role,results,making,main,cortical,show,condition,interaction
working memory,back,task,letter,capacity,memory,information,maintenance,span,verbal working,performance,storage,presented,rehearsal,short term memory,right,spatial working memory,verbal,function,one,fronto parietal,digit,activation,network,visual working memory,memory task,left,prefrontal,memory load,ms,sternberg,prefrontal cortex,load,button,updating,activity,manipulation,central executive,stimuli,phonological loop
dlpfc,pfc,vlpfc,prefrontal,cognitive control,prefrontal cortex,process,dorsolateral prefrontal cortex,region,may,bilateral,medial pfc,lateral,left,dorsolateral pfc,control,right,ventrolateral,ventrolateral prefrontal cortex,role,function,activation,top,cognitive,working memory,associated,finding,monitoring,interaction,goal,well,executive,results,dorsolateral,lateral prefrontal cortex,suggest,involved,frontal,level,dorsomedial
time,temporal,duration,interval,point,timing,second,onset,first,order,ms,trial,dynamic,event,process,long,short,rate,see,related,supra,experimental,spatial temporal,average,estimation,change,information,structure,neural,right,function,stimulus,range,analysis,constant,press,locked,button,sub,period
functional connectivity,resting state,function,region,analysis,brain,connectivity,time,based,rsfc,motion,maps,intrinsic,related,network,increased,head,image,results,signal,difference,rest,decreased,regression,may,pattern,finding,ms,first,echo,spatial,relationship,strength,correct,effect,sample,group,global,cluster,task
false,belief,true,pc,reasoning,postpartum,claim,may,photo,common,reality,story,associated,based,results,neural,agent,general,see,desired,location,truth,mental,presented,right,paradigm,contrast,comparison,conflict,rate,process,partial,sign,one,non,difference,state,basic,critical,role
implicit,explicit,fatigue,process,humor,t3,resolution,ms,mental fatigue,detection,implicit learning,boredom,may,t4,mental effort,effort,subject,reaction time,instruction,line,shyness,awareness,explicit learning,mental,demanding,search,without,increased,central,self report,sustained,expected,time,post,physical,fragile,chronic fatigue syndrome,middle,prolonged,modified
ptsd,trauma,symptom,traumatic,childhood,related,abuse,may,dissociation,tc,combat,veterans,associated,event,control,experience,without,severity,disorder,history,diagnosis,finding,increased,decreased,clinical,reported,symptom severity,sample,group,posttraumatic stress disorder,scale,healthy,sexual,psychiatric,iv,response,emotional,physical,non,alteration
problem,arithmetic,subtraction,addition,calculation,mental,problem solving,process,retrieval,solving,number,left,correct,angular gyrus,presented,involved,one,brain,simple,size,difference,results,difficult,first,small,large,use,digit,show,procedural,skill,ms,verbal,strategies,condition,role,student,cognitive,well,second
analysis,meta,conjunction,results,reported,process,based,function,region,specific,cluster,finding,brain,common,activation,domain,contrast,may,one,likelihood,maps,number,difference,map,approach,convergence,review,comparison,search,associated,well,distribution,see,effect,size,bilateral,role,space,estimation,related
fa,white matter,tract,fiber,md,value,image,integrity,tensor,structure,analysis,based,corpus callosum,region,pathway,maps,increased,associated,may,lower,measures,finding,space,results,higher,cingulum,relationship,cluster,probability,axonal,axial,white matter tracts,related,water,difference,myelin,fibre,acquired,spatial,bundle
categories,category,animal,selective,human,relevant,specific,category learning,continuous,difference,one,nn,grouping,dimensional,perceptual,defined,member,natural,structure,comparison,see,feature,typical,four,behavior,ii,space,specialization,nature,show,low level,cross,similarity,well,far,contrast,general,non,medical,difficult
children,adult,adolescents,development,age,difference,adolescent,brain,childhood,child,adulthood,greater,parent,group,early,change,sample,range,function,analysis,ages,finding,may,school,longitudinal,old,time,motion,region,show,skill,mature,reported,period,behavior,research,intelligence,results,pattern,head
left,right,bilateral,analysis,results,comparison,x,superior temporal gyrus,postcentral gyrus,region,value,threshold,inferior frontal gyrus,precentral gyrus,handed,involved,fusiform gyrus,middle temporal gyrus,middle frontal gyrus,test,reported,gyrus,detected,addition,neurological,superior frontal gyrus,presented,inferior temporal gyrus,hand,standard,middle occipital gyrus,parahippocampal gyrus,anterior,method,superior occipital gyrus,hemisphere,middle,lingual gyrus,cluster,inferior occipital gyrus
semantic,meaning,related,semantic processing,process,left,associated,retrieval,semantic memory,region,semantic information,metaphor,response,inferior frontal gyrus,word,involved,item,role,lexical,may,access,task,stimuli,relationship,specific,semantic knowledge,concept,involvement,anterior,demand,comparison,inferior frontal,control,decision,bilateral,ms,condition,angular gyrus,middle temporal gyrus,part
deficit,reduced,abnormal,disorder,function,dysfunction,impairment,may,finding,diagnosis,altered,decreased,clinical,reported,syndrome,reduction,hypoactivation,disturbance,psychiatric,specific,aberrant,diminished,mechanisms,potential,neurological,suggest,diagnosed,frontal,atypical,primary,characteristic,feature,basis,core,neurobiological,hyper,history,show,difficult,assessment
external,internal,identity,identification,environmental,identities,monitoring,low level,central,four,adaptation,information,rostrolateral,match,involved,long term,continuous,short term,consecutive,fixed,oriented,based,mechanisms,typical,anterior medial,test,absence,thought,model,role,intrinsic motivation,constant,representation,generate,attending,identity recognition,focus,core,planned,distance
et,al,van,conflict,value,results,research,smith,potential,standard,de,financial,absence,relationship,show,space,brain,line,error,see,number,blue,bar,red,reported,anatomical,left,price,johnson,color,individual,brown,right,contrast,miller,structure,threshold,martin,correct,der
evaluation,situation,appraisal,guilt,behavior,act,reaction,information,embarrassment,core,process,interaction,active,one,relevant,danger,crying,part,anger,feeling,critical,x,concept,adaptive,presented,involved,ego,control,psychological,assessment,role,system,activities,physical,theories,type,proneness,second,first,central
feedback,negative feedback,correct,trial,feedback processing,behavior,based,incorrect,positive,value,performance,information,task,sensitive,see,estimation,time,first,adjustment,positive negative,subsequent,expected,error,valence,presented,difference,analysis,subject,role,reinforcement,reinforcement learning,signal,one,declarative,interaction,manipulation,finding,computer,future,results
sentence,comprehension,syntactic,process,structure,narrative,story,level,role,sentence comprehension,presented,sentence processing,information,one,discourse,results,reading,word,left,interaction,complex,language comprehension,type,meaning,order,read,listening,activation,involved,difficult,lexical,text,may,critical,increased,correct,speaker,anomalous,active,part
switch,switching,preparation,repeat,task switching,trial,task set,flexibility,related,cognitive control,response,ms,stimulus,goal,left,mixed,associated,set,involved,cue,letter,executive control,sets,behavior,type,paradigm,specific,transition,error,mapping,single,role,interval,one,general,sequence,results,repetition,cognitive,pre sma
performance,accuracy,task,correct,reaction time,behavior,ability,behavioral performance,accurate,level,measures,response time,poor,analysis,test,brain,lower,efficiency,well,higher,trial,good,presented,incorrect,average,individual,right,variability,error,relationship,regression,ms,practice,button,number,testing,total,performance task,function,interval
strategy,strategies,reasoning,based,neurofeedback,use,process,heuristic,prototype,order,experimental,interaction,information,time,first,cognitive,inference,instruction,ability,presented,self regulation,deductive reasoning,theory,type,level,four,see,active,difference,mental,specific,second,validity,one,cognitive processes,without,involved,problem,linear,practice
visual,process,fusiform gyrus,matching,fusiform,local,global,occipito temporal,information,stream,occipital,cortex,pathway,may,bilateral,level,image,form,visual stimuli,lingual gyrus,ventral visual,involved,perceptual,visual information,recognition,visual area,matching task,interaction,ventral,match,area,middle occipital gyrus,presented,feature,order,early visual,stimuli,top,extrastriate,visual cortex
asd,autism,autistic,atypical,brain,diagnosis,autism spectrum disorder,group,typical,communication,social,finding,behavior,may,high,impairment,increased,scale,region,reported,control,children,clinical,abnormal,development,adult,sample,right,repetition,difference,interaction,reduced,age,process,intelligence,range,total,symptom,autism spectrum,restricted
schizophrenia,symptom,psychosis,first,healthy,illness,abnormal,psychotic,clinical,sibling,relatives,medication,may,patient,episode,associated,finding,analysis,sample,brain,deficit,reported,diagnosis,disorder,scale,region,iv,function,history,group,psychiatric,high risk,difference,positive,reduction,reduced,positive negative,results,chronic,duration
inhibition,response inhibition,nogo,task,inhibitory control,right,response,activation,related,correct,error,ms,motor response,neural,contrast,event,behavior,presma,trial,difference,cognitive control,may,control,stop signal,press,process,associated,inferior frontal gyrus,motor inhibition,see,increased,inferior frontal,prefrontal,reaction time,network,button,executive control,impulse,stimulus,letter
bilateral,frontal,precuneus,cortex,gyri,associated,inferior parietal,inferior frontal gyrus,inferior frontal,lobe,middle frontal gyrus,superior,parietal,prefrontal,network,well,medial frontal,superior frontal gyrus,insula,frontal cortex,inferior parietal lobule,area,precentral gyrus,prefrontal cortex,cuneus,cortices,supramarginal gyrus,anterior cingulate,middle temporal gyrus,neural,process,medical,comparison,angular gyrus,parietal cortex,middle frontal,superior temporal,superior parietal,frontal gyrus,involved
area,brain,involved,part,results,process,see,show,one,related,well,function,higher,analysis,case,first,order,role,specific,line,second,information,addition,due,least,general,activation,involvement,like,network,clear,may,usually,active,relevant,hand,basis,cortex,reported,without
group,difference,analysis,comparison,greater,results,one,sample,based,age,lower,show,pattern,test,hoc,contrast,higher,reported,post,measures,number,due,compensate,reduced,time,may,mixed,four,main,size,region,correct,research,non,complete,see,gender,finding,standard,defined
congruent,conflict,incongruent,trial,cognitive control,congruent incongruent,task,response,flanker,effect,behavior,process,ms,response conflict,simon,information,reaction time,stimulus,right,analysis,conflict resolution,condition,level,activation,mechanisms,based,associated,adjustment,increased,neural,stimuli,presented,interference,event,contrast,monitoring,one,resolution,ii,adaptation
person,perspective,taking,first,third,people,see,relevant,psychological,characteristic,instruction,involved,precuneus,cognitive,involvement,well,anosognosia,difference,one,based,situation,order,knowledge,subject,reported,little,presented,like,four,ability,mechanisms,x,second,main,part,show,unawareness,repression,personality traits,referred
event,future,past,episodic,autobiographical,default network,specific,autobiographical memory,memories,construction,see,thinking,imagine,simulation,process,general,retrieval,time,remember,associated,scanning,one,rating,contrast,experience,difference,analysis,person,episodic memory,task,network,number,mental,reported,core,memory,autobiographical memories,episode,thought,precuneus
pag,migraine,chronic pain,pain,central,brainstem,may,visceral,process,brain,attack,chronic,change,increased,headache,hyperalgesia,pressure,sensitization,somatic,sensory,function,rectal,fibromyalgia,crps,descending,structure,neuropathic pain,nociceptive,associated,syndrome,duration,altered,allodynia,healthy,system,pathway,difference,clinical,mechanisms,mechanical
fear,threat,avoidance,threatening,approach,temperament,safe,dental,pf,startle,defense,shock,fearful,increased,alone,avoid,aversive,related,potential,see,system,human,vigilance,escape,reaction,animal,arousal,avoidance behavior,finding,research,brain,stimuli,presented,context,state,appraisal,ms,measures,startle response,cues
fc,long,short,range,als,increased,region,brain,based,decreased,function,analysis,difference,strength,value,may,disease,related,altered,lower,alteration,reduced,bilateral,first,x,time,maps,higher,mapping,reduction,plus,gender,global,results,pattern,distance,reported,sample,head,motion
reading,letter,orthographic,left,readers,word,dyslexia,spelling,read,skill,region,visual word,occipito temporal,grapheme,task,form,typical,reported,single,specific,fixation,presented,first,consistency,string,test,written,fusiform gyrus,case,characteristic,ability,phonological,see,one,acquisition,language,system,phonological processing,rapid,symbols
red,blue,green,light,cell,color,count,white,gray,optical,channel,layer,chewing,neuronal,pink,show,disc,column,vu,infection,teeth,upper,system,cone,human,stem,lower,infrared,pyramidal,rod,darkness,unit,cord,fiber,modified,coronal,hurst,activities,density,jargon
control,healthy,hyperactivity,increased,compensate,general,reduced,lower,age,ill,lack,testing,problem,altered,alteration,program,pathological,poorly,lead,occupational,power,eleven,participate,severe,assisted,test,prolonged,maintaining,neurobehavioral,school,failure,activation patient,head injury,fifth,completion,diagnosed,prefrontal cortical,predominantly,inadequate,middle superior
trait,impulsivity,aggressive,behavior,neuroticism,associated,higher,extraversion,brain,person,scale,related,personality traits,dimensional,relationship,sample,measures,level,antisocial,psychotic,high,healthy,results,self report,questionnaire,seeking,model,total,individual difference,item,control,openness,well,right,reactive,negative,lower,regression,interpersonal,emotional
real,decoding,pseudo,free,fix,experimental,a3,cross,occipitotemporal cortex,white,type,testing,confusion,pb,imagine,sub,spontaneous,parietal area,personal communication,personal space,person,perpendicular,persistent,personality disorder,peroneal,permissiveness,permanent,periventricular white matter,periventricular,perisylvian,persistent vegetative state,personality traits,a1,perspective,phenomenon,phencyclidine,phase,pharyngeal,pharmacological,pharmacist
activation,related,increased,difference,pattern,may,greater,contrast,function,finding,response,analysis,condition,process,effect,baseline,comparison,associated,paradigm,due,reported,well,show,higher,addition,stimuli,number,expected,left,bilateral,control,lower,active,subject,suggest,button,area,task,threshold,small
salience,salient,salience network,a1,hallucination,delusions,distortion,reality,associated,a2,process,aberrant,logical,attribution,b1,relationship,b2,stimuli,logic,delusion,increased,bias,relevant,prone,external,deductive,central executive,monitoring,misattribution,specific,adaptive,phenomenon,source monitoring,decreased,research,presented,line,event,ideation,experience
pleasant,taste,unpleasant,swallowing,water,gustatory,rating,tongue,oral,sweet,activation,subject,liking,insula,intensity,sensory,mouth,concentration,brain,stimuli,tension,products,drink,human,time,salt,value,operculum,scale,reported,rolandic,related,order,test,bitter,primary,volume,difference,analysis,results
hemisphere,lateral,right,left,dominant,asymmetry,function,lh,handedness,pattern,difference,handed,interhemispheric,index,contralateral,frontal,one,value,unilateral,individual,indices,cerebral,show,anatomical,based,hand,bias,bilateral,intra,reported,predominantly,language,temporal lobe,organization,atypical,hemispheric specialization,area,symmetric,greater,line
negative,positive,positive negative,valence,negative positive,bias,affect,negative neutral,increased,value,response bias,information,scale,decreased,biases,neural,lower,point,negativity,regression,shift,average,biased,emotional valence,expected,partial,reversed,posterior cingulate,extreme,avoid,inferior frontal gyrus,good,formed,meaning,activities,task positive,like,autobiographical recall,enhancement,ii
pain,painful,rating,related,brain,analgesic,intensity,stimulation,noxious,process,stimuli,nociceptive,analysis,subject,sensory,insula,experience,pain perception,pain threshold,laser,affective,associated,level,thermal,reported,stimulus,heat,chronic pain,matrix,thalamus,scale,experimental,bilateral,region,response,induced,habituation,expectation,anterior insula,individual
item,new,old,mtl,recognition,test,correct,effect,confidence,region,associated,memory,finding,subsequent memory,recognition memory,response,source memory,judgment,see,presented,one,process,function,left,retrieval,contrast,rejection,strength,event,list,image,information,greater,recollection,accuracy,incorrect,type,reported,model,analysis
activity,related,increased,difference,greater,pattern,active,may,brain,associated,baseline,analysis,show,contrast,reported,neural,addition,see,response,decreased,specific,cortex,finding,activities,reduced,due,number,relationship,scanning,event,false memory,subsequent,suggest,comparison,time,stimuli,function,beta,engagement,magnitude
dmn,pcc,default mode,precuneus,rest,network,resting state,posterior cingulate cortex,network dmn,component,process,may,associated,resting,increased,activity,task positive,results,thought,decreased,well,external,maps,medial prefrontal cortex,pattern,posterior cingulate,relationship,self referential,spatial,bilateral,role,attention,subject,level,finding,cognitive,anti,midline,reduced,posterior
network,function,brain,interaction,fronto parietal,component,efficiency,local,global,spatial,large,information,structure,scale,distribution,system,related,pattern,hubs,default mode,dorsal attention,process,matrix,organization,hub,specific,intra,dynamic,associated,multiple,based,small,number,control network,executive control,path,high,characteristic,driven,theory
chinese,language,english,characteristic,l2,l1,bilinguals,brain,speaker,second,difference,left,greater,french,process,level,neural,effect,task,activation,results,first,orthographic,one,may,involved,age,acquisition,bilateral,analysis,ms,accuracy,comparison,image,german,system,word,reading,finding,acquired
level,cluster,size,threshold,higher,analysis,contrast,large,small,sample,correct,set,see,local,number,four,results,x,comparison,minimum,value,multiple,difference,range,one,extended,inference,random,total,family,average,hoc,supplementary,positive,primary,distribution,error,simulation,well,sub
